title,type,genre,themes,mood,description,imdb_rating,my_rating,year
Spider-Man,movie,"action, adventure, superhero","responsibility, heroism, coming-of-age","inspiring, nostalgic",A teenager gains spider-like abilities and learns that great power requires great responsibility while fighting the Green Goblin.,7.4,7.2,2002
Spider-Man 2,movie,"action, adventure, superhero","sacrifice, identity, burden","emotional, heroic",Peter Parker struggles to balance his personal life with his duties as Spider-Man while facing the multi-limbed Doctor Octopus.,7.5,7.5,2004
Spider-Man 3,movie,"action, adventure, superhero","revenge, forgiveness, darkness","dramatic, intense","A strange black entity bonds with Peter, amplifying his dark side as he faces Sandman and a new Goblin.",6.3,6.5,2007
The Amazing Spider-Man,movie,"action, adventure, superhero","secrets, identity, science","moody, romantic",Peter Parker uncovers secrets about his father's past while facing a geneticist turned monster known as The Lizard.,6.9,6.3,2012
The Amazing Spider-Man 2,movie,"action, adventure, superhero","destiny, sacrifice, isolation","vibrant, tragic",Spider-Man faces the powerful Electro and his old friend Harry Osborn while struggling to protect Gwen Stacy from his dangerous life.,6.6,6.2,2014
Spider-Man: Homecoming,movie,"action, adventure, superhero","mentorship, growth, heroism","lighthearted, fun",Peter Parker tries to balance his ordinary high school life with his responsibilities as a hero under the watchful eye of Tony Stark.,7.4,7,2017
Spider-Man: Far From Home,movie,"action, adventure, superhero","deception, legacy, technology","adventurous, smart","While on a school trip to Europe, Peter is recruited by Nick Fury to uncover the mystery of several elemental creature attacks.",7.4,7.1,2019
Spider-Man: No Way Home,movie,"action, adventure, superhero","multiverse, consequences, redemption","epic, emotional","After his identity is revealed, Peter asks Doctor Strange for help, accidentally tearing open the multiverse and bringing in foes from other worlds.",8.2,8,2021
Batman Begins,movie,"action, crime, superhero","chaos, morality, justice","gritty, intense","After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",8.2,8.2,2005
The Dark Knight,movie,"action, crime, superhero","chaos, morality, justice","gritty, intense","Batman faces his greatest psychological test against the Joker, a mastermind seeking to plunge Gotham City into total anarchy.",9,8.8,2008
The Dark Knight Rises,movie,"action, crime, superhero","chaos, morality, justice","gritty, intense","Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",8.4,9,2012
Inception,movie,"sci-fi, action","dreams, reality, subconscious","mind-bending, heist",A skilled thief who steals secrets from within the subconscious is offered a chance to have his criminal record erased by performing inception.,8.8,9,2010
Interstellar,movie,"sci-fi, drama","space, time dilation, survival","emotional, mind-bending",A team of explorers travel through a wormhole in space to ensure humanity's survival while dealing with the relativity of time.,8.7,9.5,2014
Blade Runner 2049,movie,"sci-fi, mystery","artificial intelligence, memory, identity","atmospheric, melancholic","A young Blade Runner unearths a long-buried secret that leads him to track down former runner Rick Deckard, missing for thirty years.",8,8.6,2017
The Martian,movie,"sci-fi, adventure","survival, science, isolation","optimistic, tense","An astronaut becomes stranded on Mars after his team assumes him dead, relying on his ingenuity to find a way to signal Earth.",8,9,2015
Deadpool & Wolverine,movie,"action, comedy","multiverse, redemption, brotherhood","irreverent, high-energy",A listless Wade Wilson joins forces with a weary Wolverine on a mission that will change the history of the Marvel Cinematic Universe.,7.7,8.1,2024
Mad Max: Fury Road,movie,"action, sci-fi","post-apocalypse, freedom, survival","high-octane, visceral","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the help of a drifter named Max.",8.1,8.5,2015
The Matrix,movie,"sci-fi, action","simulated reality, rebellion, fate","philosophical, stylish",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,8.7,9,1999
Arrival,movie,"sci-fi, drama","communication, time, linguistics","cerebral, emotional","A linguist works with the military to communicate with alien newcomers, discovering a gift that threatens her very perception of time.",7.9,8.8,2016
The Shawshank Redemption,movie,drama,"hope, friendship, prison escape","inspiring, melancholic",A banker wrongly convicted of murder finds a unique way to survive prison life through friendship and an unwavering sense of hope.,9.3,9.8,1994
Fight Club,movie,"drama, thriller","consumerism, anarchy, identity","gritty, mind-bending","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into a dark, anti-materialist revolution.",8.8,9,1999
Parasite,movie,"drama, thriller","social class, greed, deception","tense, dark comedy",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,8.5,8.2,2019
The Silence of the Lambs,movie,"thriller, horror","psychological profiling, serial killers","chilling, suspenseful",A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial murderer.,8.6,9,1991
Hereditary,movie,"horror, drama","family trauma, occult, grief","disturbing, dread","After the family matriarch passes away, a grieving family is haunted by tragic and disturbing occurrences as they uncover dark secrets.",7.3,7.1,2018
The Conjuring,movie,"horror, mystery","paranormal, exorcism, family","terrifying, atmospheric","Paranormal investigators work to help a family terrorized by a dark presence in their farmhouse, uncovering a history of malevolent spirits.",7.5,7.2,2013
The Hangover,movie,comedy,"bachelor party, memory loss, friendship","hilarious, chaotic",Three groomsmen wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing.,7.7,7.5,2009
La La Land,movie,"romance, musical","dreams, ambition, jazz","bittersweet, vibrant","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations.",8,8.5,2016
Eternal Sunshine of the Spotless Mind,movie,"romance, sci-fi","memory, heartbreak, destiny","cerebral, emotional","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",8.3,9,2004
Prisoners,movie,"thriller, mystery","justice, desperation, morality","intense, somber","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursuit stalls.",8.2,8.8,2013
John Wick,movie,"action, thriller","revenge, underworld, loyalty","stylish, visceral",An ex-hitman comes out of retirement to track down the gangsters that killed his dog and took everything from him.,7.4,8,2014
John Wick: Chapter 2,movie,"action, thriller","debt, betrayal, underworld","intense, cinematic","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",7.4,8.1,2017
Past Lives,movie,"drama, romance","fate, connection, immigration","reflective, melancholic",Two deeply connected childhood friends are reunited in New York for one fateful week as they confront notions of destiny and love.,7.9,7.8,2023
Nosferatu,movie,"horror, fantasy","obsession, gothic, vampires","eerie, atmospheric","A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror.",7.2,7.5,2024
Ballerina,movie,"action, thriller","vengeance, assassin, underworld","gritty, high-octane","A young woman trained as an assassin seeks revenge against the people who murdered her family, set within the John Wick universe.",7,7.2,2025
The Lord of the Rings: The Fellowship of the Ring,movie,"fantasy, adventure","fellowship, sacrifice, power","epic, immersive",A meek Hobbit and eight companions set out on a journey to destroy a powerful ring and save Middle-earth from the Dark Lord Sauron.,8.9,9,2001
The Lord of the Rings: The Two Towers,movie,"fantasy, adventure","war, resilience, friendship","epic, intense","While Frodo and Sam edge closer to Mordor, their divided fellowship makes a stand against the new alliance of Saruman and Sauron.",8.8,9.2,2002
The Lord of the Rings: The Return of the King,movie,"fantasy, adventure","destiny, courage, finality","epic, emotional",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom.,9,9.3,2003
How to Lose a Guy in 10 Days,movie,rom-com,"deception, dating, attraction","lighthearted, playful","An advice columnist tries to push a man away using classic dating mistakes, unaware that he is simultaneously trying to make her fall in love.",6.5,8,2003
About Time,movie,"rom-com, sci-fi","time travel, family, love","heartwarming, emotional","At the age of 21, Tim discovers he can travel in time and uses his power to improve his love life and protect his family.",7.8,7.6,2013
"Crazy, Stupid, Love.",movie,"rom-com, drama","divorce, masculinity, connection","charming, witty","A middle-aged husband's life changes dramatically when his wife asks for a divorce, leading him to seek help from a young, charismatic player.",7.4,8,2011
Seven,movie,"thriller, crime","sin, morality, urban decay","grim, suspenseful","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives for a series of murders.",8.6,9,1995
The Prestige,movie,"thriller, drama","obsession, rivalry, magic","mind-bending, dark","After a tragic accident, two stage magicians in 1890s London engage in a desperate battle to create the ultimate illusion while sacrificing everything.",8.5,8.5,2006
Shutter Island,movie,"thriller, mystery","trauma, sanity, isolation","atmospheric, chilling","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane on a remote island.",8.2,8,2010
The Truman Show,movie,"drama, comedy","media, existentialism, freedom","thought-provoking, ironic","An insurance salesman discovers his whole life is actually a reality TV show broadcast since his birth, leading him to seek a way out.",8.2,8.5,1998
Forrest Gump,movie,"drama, romance","fate, innocence, American history","heartwarming, nostalgic",A slow-witted but kind-hearted man witnesses and unwittingly influences several defining historical events in the 20th century United States.,8.8,9,1994
Manchester by the Sea,movie,drama,"grief, family, redemption","melancholic, somber","A depressed uncle is forced to take care of his teenage nephew after the boy's father dies, forcing him to face a tragic past.",7.8,8.2,2016
There Will Be Blood,movie,"drama, history","greed, religion, oil","intense, gritty","A ruthless silver miner turned oilman moves to California to seek his fortune, descending into a dark obsession with wealth and power.",8.2,8.5,2007
Spirited Away,movie,"fantasy, animation","identity, spirits, maturation","surreal, enchanting","A young girl wanders into a world ruled by gods and spirits; after her parents are transformed, she must work to find a way back.",8.6,9,2001
Jumanji: Welcome to the Jungle,movie,"fantasy, comedy","teamwork, identity, survival","high-energy, funny","Four teenagers are sucked into a magical video game, where they must survive the jungle in the bodies of adult avatars to return home.",7,7.5,2017
The Exorcist,movie,"horror, supernatural","faith, possession, evil","terrifying, visceral","When a young girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter through exorcism.",8.1,8,1973
Get Out,movie,"horror, thriller","racism, psychological, suburban","tense, thought-provoking","A young African-American man visits his white girlfriend's parents for the weekend, where his unease about their behavior eventually reaches a boiling point.",7.8,8.2,2017
The Shining,movie,"horror, thriller","isolation, madness, family","eerie, suspenseful","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees visions.",8.4,8,1980
A Quiet Place,movie,"horror, sci-fi","survival, family, silence","tense, immersive",A family must live life in absolute silence to avoid mysterious creatures that hunt by sound in a post-apocalyptic world.,7.5,7.8,2018
The Conjuring 2,movie,"horror, mystery","paranormal, faith, haunting","scary, atmospheric",Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,7.3,7.2,2016
IT (Chapter One),movie,"horror, fantasy","fear, childhood, friendship","creepy, nostalgic","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown.",7.3,7.5,2017
Evil Dead Rise,movie,"horror, fantasy","family, possession, urban horror","gruesome, relentless","Two estranged sisters' reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival in a city apartment.",6.5,7,2023
Drive,movie,"action, crime","isolation, protection, violence","atmospheric, cool","A mysterious Hollywood stuntman and getaway driver falls for his neighbor, only to be drawn into a botched heist to save her family.",7.8,8.2,2011
The Bourne Identity,movie,"action, thriller","amnesia, identity, survival","gritty, intense","A man is pulled from the ocean with bullet wounds and no memory, beginning a race across Europe to rediscover his deadly past.",7.9,8,2002
The Bourne Supremacy,movie,"action, thriller","redemption, conspiracy, justice","relentless, cold","Framed for a botched CIA operation, Jason Bourne is forced out of hiding to take down those still hunting him.",7.7,8.1,2004
The Bourne Ultimatum,movie,"action, thriller","truth, closure, espionage","high-octane, gritty",Jason Bourne dodges a new generation of highly trained assassins while finally uncovering the dark truth behind his creation.,8,8.2,2007
Ocean's Eleven,movie,"action, comedy","heist, brotherhood, charisma","stylish, cool","Danny Ocean recruits a team of eleven specialists to rob three Las Vegas casinos simultaneously in a sophisticated, high-stakes heist.",7.7,8,2001
Top Gun: Maverick,movie,"action, drama","legacy, teaching, bravery","nostalgic, thrilling","After thirty years, Pete ""Maverick"" Mitchell must train a new group of graduates for a specialized mission while confronting his past.",8.2,8.5,2022
The Equalizer,movie,"action, thriller","vigilantism, justice, protection","brutal, grounded",A man living a quiet life believes he has put his mysterious past behind him until he meets a girl under the control of ultra-violent Russian gangsters.,7.2,7.5,2014
Ford v Ferrari,movie,"action, drama","rivalry, engineering, friendship","inspiring, energetic",American car designer Carroll Shelby and driver Ken Miles battle corporate interference to build a revolutionary race car for Ford.,8.1,9,2019
Sicario,movie,"action, crime","drug war, morality, corruption","tense, gritty",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border.,7.7,7.9,2015
Edge of Tomorrow,movie,"action, sci-fi","time loops, alien invasion, war","exhilarating, smart","A soldier fighting aliens finds himself caught in a time loop, reliving the same day and battle every time he dies.",7.9,8.2,2014
Zodiac,movie,"thriller, mystery","obsession, journalism, true crime","meticulous, eerie","A political cartoonist becomes obsessed with tracking down the Zodiac Killer, an unidentified murderer who terrorizes Northern California with cryptic letters.",7.7,8,2007
Nocturnal Animals,movie,"thriller, drama","revenge, regret, storytelling","stylish, haunting","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",7.5,7.6,2016
The Proposal,movie,rom-com,"fake relationship, career, family","lighthearted, fun",A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,6.7,7.8,2009
The Ides of March,movie,"drama, thriller","political corruption, ambition, betrayal","cynical, tense",An idealistic campaign staffer gets a crash course in dirty politics while working for a presidential candidate in a high-stakes primary.,7.1,7.5,2011
The Guest,movie,"action, mystery","identity, military secrets, protection","ominous, stylish","A soldier arrives at the home of a fallen comrade and ingratiates himself with the family, but a string of deaths follows his arrival.",6.7,6.6,2014
The Gorge,movie,"action, sci-fi","survival, unseen evil, isolation","mysterious, tense",Two elite operatives guarding a classified gorge must work together when a cataclysmic threat to humanity is finally revealed.,6.7,8.3,2025
Into the Wild,movie,"drama, adventure","transcendentalism, survival, isolation","poignant, spiritual","After graduating from university, a top student abandons his life of privilege and hitchhikes to Alaska to live in the wilderness.",8.1,8.5,2007
Bridge to Terabithia,movie,"drama, fantasy","friendship, imagination, grief","emotional, magical","Two young outsiders create a fantasy world to escape the difficulties of their daily lives, only to face a tragic reality.",7.2,7.6,2007
Dead Poets Society,movie,drama,"non-conformity, poetry, education","inspiring, bittersweet","An unconventional English teacher uses poetry to empower his students at a strict boarding school to ""seize the day"" and think for themselves.",8.1,8.5,1989
The Art of Racing in the Rain,movie,"drama, romance","loyalty, perspective, family","heartwarming, tear-jerking","A golden retriever named Enzo recalls the life lessons he learned from his race car driver owner, reflecting on the human condition.",7.5,7.8,2019
Detachment,movie,drama,"education, isolation, social decay","somber, raw",A substitute teacher who avoids emotional attachments finds himself connecting with troubled students and staff at a failing public school.,7.7,8.2,2011
The Upside,movie,"drama, comedy","friendship, disability, second chances","uplifting, charming","A paralyzed billionaire hires a struggling ex-convict to be his caretaker, leading to an unlikely and life-changing friendship for both.",7,7.5,2017
Wall-E,movie,"sci-fi, animation","environmentalism, love, automation","whimsical, lonely",A small waste-collecting robot on a deserted Earth embarks on a space journey that will ultimately decide the fate of mankind.,8.4,8.9,2008
Schindler's List,movie,"drama, history","humanity, holocaust, heroism","powerful, somber","In German-occupied Poland during WWII, an industrialist becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",9,9,1993
The Green Mile,movie,"drama, fantasy","justice, miracles, compassion","emotional, spiritual",The lives of guards on Death Row are affected by one of their charges: a black man accused of murder who has a mysterious gift.,8.6,8.6,1999
Jojo Rabbit,movie,"drama, comedy","indoctrination, empathy, war","satirical, heartwarming",A lonely German boy's world view is turned upside down when he discovers his mother is hiding a young Jewish girl in their attic.,7.9,8,2019
X-Men,movie,"action, sci-fi","prejudice, evolution",atmospheric,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,7.3,7.3,2000
X2: X-Men United,movie,"action, sci-fi","survival, alliance",intense,"The X-Men must unite with their former enemies, the Brotherhood, to stop a common threat who intends to commit mutant genocide.",7.4,7.4,2003
X-Men: The Last Stand,movie,"action, sci-fi","cure, choice, loss",dramatic,"A ""cure"" for mutation is discovered, leading to a war between the X-Men and the Brotherhood while Jean Grey's dark side emerges.",6.6,6.8,2006
X-Men Origins: Wolverine,movie,"action, sci-fi","revenge, brotherhood",gritty,"A look at Logan's early life, specifically his relationship with his brother Victor Creed and the service in the Weapon X program.",6.5,6.6,2009
X-Men: First Class,movie,"action, sci-fi","origins, friendship","retro, epic","In 1962, Charles Xavier and Erik Lehnsherr work together to stop a nuclear threat, before their differing philosophies lead to a permanent rift.",7.7,7.5,2011
The Wolverine,movie,"action, sci-fi","mortality, honor, isolation",stoic,Wolverine travels to modern-day Japan to face an old acquaintance from his past and a conspiracy involving his healing powers.,6.7,7,2013
X-Men: Days of Future Past,movie,"action, sci-fi","time travel, destiny",high-stakes,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,7.9,8,2014
X-Men: Apocalypse,movie,"action, sci-fi","ancient power, extinction",catastrophic,"The first and most powerful mutant, Apocalypse, awakens after thousands of years and intends to cleanse the world and create a new order.",6.9,6.8,2016
Logan,movie,"action, drama","legacy, aging, protection","somber, raw","In a future where mutants are nearly extinct, a weary Logan cares for an ailing Professor X while protecting a young girl with similar powers.",8.1,8.1,2017
Dark Phoenix,movie,"action, sci-fi","power, trauma, family",emotional,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, forcing the X-Men to decide if her life is worth more than humanity.",5.7,6.1,2019
The New Mutants,movie,"horror, sci-fi","trauma, containment",eerie,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",5.3,5.9,2020
The Avengers,movie,"action, sci-fi","unity, global-threat","epic, fun",Earth's mightiest heroes must come together and learn to fight as a team to stop the mischievous Loki and his alien army.,8,8.2,2012
Avengers: Age of Ultron,movie,"action, sci-fi","AI-gone-wrong, creation","dark, chaotic","When Tony Stark jumpstarts a dormant peacekeeping program, things go terribly wrong, forcing the Avengers to stop a sentient robot from human extinction.",7.3,7,2015
Avengers: Infinity War,movie,"action, sci-fi","sacrifice, inevitable loss","intense, somber",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of cosmic devastation.,8.4,8.8,2018
Avengers: Endgame,movie,"action, sci-fi","legacy, time-travel","emotional, epic","After the devastating events of Infinity War, the remaining Avengers assemble one final time to restore balance to the universe and bring back their fallen.",8.4,8.6,2019
Pirates of the Caribbean: The Curse of the Black Pearl,movie,"fantasy, action","piracy, curses, freedom",swashbuckling,Blacksmith Will Turner teams up with eccentric pirate Jack Sparrow to save his love from cursed pirates who turn into skeletons at night.,8.1,8.5,2003
Pirates of the Caribbean: Dead Man's Chest,movie,"fantasy, action","debt, betrayal, immortality","dark, adventurous","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to the Dutchman, while Will and Elizabeth are caught in the fray.",7.4,8,2006
Pirates of the Caribbean: At World's End,movie,"fantasy, action","alliance, sacrifice, lore","epic, chaotic","Lord Cutler Beckett gains control of Davy Jones' heart, forcing the Pirate Lords from around the world to unite for one final stand for freedom.",7.1,7.5,2007
Pirates of the Caribbean: On Stranger Tides,movie,"fantasy, action","youth, religion, fountain of youth","mysterious, fun","Jack Sparrow and Barbossa embark on a quest to find the elusive Fountain of Youth, only to discover that Blackbeard and his daughter are after it too.",6.6,7.1,2011
Pirates of the Caribbean: Dead Men Tell No Tales,movie,"fantasy, action","legacy, revenge, family","supernatural, fast-paced","Captain Jack Sparrow is pursued by an old rival, the terrifying Captain Salazar, who is determined to kill every pirate at sea.",6.5,7.2,2017
Black Panther,movie,"action, sci-fi, superhero","afrofuturism, legacy, isolationism","majestic, epic","T'Challa, heir to the hidden kingdom of Wakanda, must lead his people into a new era while facing a challenger from his father's past.",7.3,7.1,2018
Captain America: The First Avenger,movie,"action, adventure, superhero","heroism, sacrifice, WWII","nostalgic, inspiring","During WWII, a frail man is transformed into a super-soldier to lead the fight against a secret Nazi organization known as Hydra.",6.9,7.2,2011
Captain America: The Winter Soldier,movie,"action, thriller, superhero","conspiracy, surveillance, loyalty","gritty, tense",Steve Rogers struggles to embrace his role in the modern world while uncovering a conspiracy within S.H.I.E.L.D. involving a deadly assassin.,7.8,7.6,2014
Captain America: Civil War,movie,"action, sci-fi, superhero","accountability, betrayal, friendship","intense, dramatic","Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man, leading to an all-out superhero war.",7.8,7.4,2016
Iron Man,movie,"action, sci-fi, superhero","redemption, technology, responsibility","high-energy, cool","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,7.8,2008
Iron Man 2,movie,"action, sci-fi, superhero","legacy, government-pressure, health","slick, fast-paced","With the world aware of his secret identity, Tony Stark must contend with both his declining health and a vengeful madman with his own tech.",6.9,7,2010
Iron Man 3,movie,"action, sci-fi, superhero","trauma, identity, terrorism","psychological, gritty","When Tony Stark's world is torn apart by a formidable terrorist, he embarks on an odyssey of rebuilding and retribution without his usual tech.",7.1,7.1,2013
Thor,movie,"action, fantasy, superhero","worthiness, humility, family","grand, mythological","The powerful but arrogant god Thor is cast out of Asgard to live among humans on Earth, where he must learn what it means to be a hero.",7,6.5,2011
Thor: The Dark World,movie,"action, fantasy, superhero","sacrifice, ancient-evil, brotherhood","dark, atmospheric","When an ancient race of Dark Elves threatens to plunge the universe into darkness, Thor must forge an unlikely alliance with his brother Loki.",6.8,6.4,2013
Thor: Ragnarok,movie,"action, comedy, superhero","rebirth, loss, liberation","vibrant, fun","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Hela, the goddess of death, from destroying his world.",7.9,8,2017
Guardians of the Galaxy,movie,"action, sci-fi, superhero","found-family, cosmic-outlaws","fun, nostalgic",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe of life.,8,7.8,2014
Guardians of the Galaxy Vol. 2,movie,"action, sci-fi, superhero","fatherhood, ego, connection","emotional, colorful",The Guardians struggle to keep their newfound family together while helping Peter Quill discover the true nature of his mysterious parentage.,7.6,7.7,2017
Guardians of the Galaxy Vol. 3,movie,"action, sci-fi, superhero","empathy, animal-rights, trauma","tear-jerking, epic","Still reeling from a loss, Peter Quill must rally his team to defend the universe and protect one of their own from a deadly high-evolved creator.",7.9,8,2023
The Suicide Squad,movie,"action, comedy, superhero","expendability, government-secrets","chaotic, violent","A group of incarcerated supervillains are sent to a remote island to destroy a Nazi-era laboratory, facing a giant alien starfish in the process.",7.2,6.9,2021
